Position,Institution,Country/territory,Count,Share
1381,"Minjiang University (MJU)",China,28,6.5122655122655
1382,"University of Roma Tre",Italy,98,6.5062512966033
1383,"Boğaziçi University (BU)",Turkey,149,6.4844804635074
1384,"Kaohsiung Medical University (KMU)",Taiwan,47,6.4788778053225
1385,"University of Cantabria (UC)",Spain,112,6.4742644845535
1386,"Kyoto Institute of Technology (KIT)",Japan,24,6.4670956459
1387,"Southwest Forestry University (SWFU)",China,11,6.4598901098901
1388,"University of Massachusetts Lowell (UMass Lowell)","United States of America (USA)",37,6.4419125001198
1389,"French Research Institute for Exploitation of the Sea (Ifremer)",France,80,6.416344143631
1390,"Zhoukou Normal University (ZKNU)",China,15,6.4132936507936
1391,"VTT Technical Research Centre of Finland Ltd.",Finland,98,6.408093219722
1392,"Oklahoma Medical Research Foundation (OMRF)","United States of America (USA)",29,6.4030852034767
1393,"Guangdong Laboratory of Chemistry and Fine Chemical Engineering",China,37,6.4027056277056
1394,"Nara Institute of Science and Technology (NAIST)",Japan,25,6.4009431309431
1395,Intel,"United States of America (USA)",20,6.3935900497733
1396,"University of Stavanger (UiS)",Norway,19,6.3926087801088
1397,"Children's National Health System","United States of America (USA)",54,6.3823524733243
1398,"University of Maryland Medical System (UMMS)","United States of America (USA)",49,6.362291580985
1399,"Brno University of Technology (BUT)","Czech Republic",49,6.3612875547743
1400,"Alfred Health",Australia,82,6.3512516111985
1401,"Zhejiang Gongshang University (ZJGSU)",China,18,6.3465538847118
1402,"Wannan Medical College",China,43,6.327892942484
1403,"University of Regina",Canada,33,6.3267814024645
1404,"University of Campania Luigi Vanvitelli",Italy,67,6.3227818845014
1405,"Fujian University of Technology (FJUT)",China,18,6.3146825396825
1406,"Tezpur University",India,10,6.2769230769231
1407,"University of Hohenheim",Germany,27,6.2697492334682
1408,"Jiangsu University of Technology (JSUT)",China,24,6.2640692640693
1409,"France Ministry of Ecology, Sustainable Development and Energy",France,117,6.2583561017101
1410,"non-affiliated author contributions","United Kingdom (UK)",34,6.2548791298669
1411,"University of Burgundy",France,101,6.2465903198841
1412,"Miguel Hernández University of Elche (UMH)",Spain,45,6.2360984268713
1413,"Khazar University",Azerbaijan,44,6.234126984127
1414,"Federal University of Espírito Santo (UFES)",Brazil,25,6.2341094928706
1415,"Federal University of Ceará (UFC)",Brazil,27,6.2325060015211
1416,"Yanqi Lake Beijing Institute of Mathematical Sciences and Applications (BIMSA)",China,25,6.2223845598846
1417,"The Peking University Institute of Advanced Agricultural Sciences (PKU-IAAS)",China,27,6.2139240226005
1418,"UK Health Security Agency","United Kingdom (UK)",40,6.2109672229507
1419,"Japan Aerospace Exploration Agency (JAXA)",Japan,44,6.2096495991718
1420,"Research Triangle Institute International (RTI International)","United States of America (USA)",45,6.1950899015743
1421,"University of the Republic (UDELAR)",Uruguay,23,6.1936842803753
1422,"Department of Fisheries and Oceans Canada (DFO)",Canada,20,6.1869363395225
1423,"Kenya Medical Research Institute (KEMRI)",Kenya,43,6.1687791201995
1424,"University of Calabria (UNICAL)",Italy,96,6.165387160862
1425,"University of Castilla-La Mancha (UCLM)",Spain,79,6.1612607196066
1426,"National Technical University of Athens (NTUA)",Greece,115,6.1460564749807
1427,"The University of Maine (UMaine)","United States of America (USA)",47,6.1429536789161
1428,"Changwon National University","South Korea",16,6.1418622499505
1429,"NORINCO Group",China,39,6.1397158805247
1430,"Pablo de Olavide University (UPO)",Spain,40,6.1311357246531
1431,"Chongqing Technology and Business University (CTBU)",China,17,6.1292628667629
1432,"Jimei University",China,25,6.1241230991231
1433,"University of Kent","United Kingdom (UK)",36,6.0934148888516
1434,"University of L'Aquila (UNIVAQ)",Italy,46,6.0920780659998
1435,"Birkbeck, University of London (BBK)","United Kingdom (UK)",45,6.0784410143106
1436,"Japan Meteorological Agency (JMA)",Japan,19,6.071640045778
1437,"Steno Diabetes Center A/S",Denmark,272,6.0501708018381
1438,"National University of Science and Technology (MISIS)",Russia,16,6.0434523809524
1439,"Jiangsu Ocean University (JOU)",China,16,6.038924963925
1440,"Yeungnam University","South Korea",24,6.0285092122049
1441,"Danish Cancer Institute",Denmark,40,6.0283887532973
1442,"Korea Research Institute of Standards and Science (KRISS)","South Korea",42,6.0259003159797
1443,"Claremont Colleges","United States of America (USA)",20,6.0195743637978
1444,"Texas Scottish Rite Hospital for Children (TSRHC)","United States of America (USA)",11,6.0133237505529
1445,TotalEnergies,France,27,6.0069560827104
1446,"Chaim Sheba Medical Center at Tel HaShomer",Israel,56,5.9941883142383
1447,"University of Montana (UMT)","United States of America (USA)",31,5.9804063449755
1448,"Inner Mongolia University of Science and Technology (IMUST)",China,19,5.9798223834989
1449,"University of New Brunswick (UNB)",Canada,32,5.9667980456555
1450,"European Southern Observatory (ESO)",Germany,113,5.9590699309282
1451,TrinaSolar,China,50,5.9533073211666
1452,"Tokai University",Japan,33,5.948368819339
1453,"University of South Bohemia","Czech Republic",30,5.9229056220475
1454,"American Museum of Natural History (AMNH)","United States of America (USA)",61,5.91149096144
1455,"Princess Maxima Centre for Pediatric Oncology (PMC)",Netherlands,40,5.9088801733988
1456,"St Vincent's Health Australia",Australia,87,5.8817264812723
1457,"Union of the German Academies of Sciences and Humanities",Germany,80,5.8775470920022
1458,"Constructor University",Germany,27,5.8720491822403
1459,"CY Cergy Paris University",France,75,5.8719946370842
1460,"Beijing Technology and Business University (BTBU)",China,29,5.8579566489009
1461,"Babraham Institute","United Kingdom (UK)",30,5.8554154870079
1462,"Bilkent University",Turkey,29,5.8400673400673
1463,"Ariel University (AU)",Israel,16,5.8198773448773
1464,"Tianjin University of Traditional Chinese Medicine (TUTCM)",China,136,5.8062575814842
1465,"University of South Dakota (USD)","United States of America (USA)",27,5.7987989413517
1466,"Korea University of Technology and Education (Korea Tech)","South Korea",9,5.7777777777778
1467,"Manchester University NHS Foundation Trust (MFT)","United Kingdom (UK)",118,5.7714691226217
1468,"University of Lahore (UOL)",Pakistan,18,5.7599744443561
1469,"Federal University of Pará (UFPA)",Brazil,23,5.7524590395187
1470,"Tarbiat Modares University (TMU)",Iran,16,5.7522394461182
1471,"Jinzhou Medical University (JZMU)",China,18,5.7434916691496
1472,"Central European University (CEU)",Austria,19,5.7412698412698
1473,"Benemérita Universidad Autónoma de Puebla (BUAP)",Mexico,85,5.7400088679815
1474,"Massey University","New Zealand",70,5.7164580183283
1475,"Austin Health",Australia,64,5.7142422840999
1476,"Babeș-Bolyai University (UBB)",Romania,31,5.7118233935174
1477,"Shanxi Datong University (SXDU)",China,15,5.7089216339216
1478,"Norwegian University of Life Sciences (NMBU)",Norway,31,5.7014373933196
1479,"Visva-Bharati University",India,43,5.6992353779741
1480,"Kyushu Institute of Technology (Kyutech)",Japan,20,5.6847314235472
1481,"American Cancer Society (ACS)","United States of America (USA)",26,5.6836713124434
1482,"Centre for Energy, Environment and Technology (CIEMAT)",Spain,122,5.6793673056845
1483,"Latvian Institute of Organic Synthesis (IOS)",Latvia,9,5.6693223443223
1484,"Herlev University Hospital",Denmark,253,5.6659165541962
1485,Dow,"United States of America (USA)",19,5.6546565470134
1486,"University of Málaga (UMA)",Spain,60,5.6485392776883
1487,"Beijing Information Science and Technology University (BISTU)",China,19,5.6484126984127
1488,"UNICANCER Group",France,109,5.6435338929453
1489,"National Institute of Technology Rourkela (NITR)",India,11,5.6359641325969
1490,"Florida Atlantic University (FAU)","United States of America (USA)",47,5.6260195110326
1491,"Soongsil University","South Korea",27,5.6209425585451
1492,"Champalimaud Foundation",Portugal,29,5.6201504100566
1493,"Tokyo Metropolitan Institute of Medical Science (IGAKUKEN)",Japan,17,5.604767713021
1494,"National Institute of Chemical Physics and Biophysics (NICPB)",Estonia,63,5.6019989410757
1495,"Marquette University","United States of America (USA)",19,5.6000964658478
1496,Danaher,"United States of America (USA)",20,5.5862458700768
1497,"Luleå University of Technology (LTU)",Sweden,43,5.5840033908791
1498,"Children's Hospital Colorado","United States of America (USA)",52,5.5745493519936
1499,"Indian Institute of Astrophysics (IIA)",India,22,5.5708317274278
1500,"The Newcastle Upon Tyne Hospitals NHS Foundation Trust (NUTH)","United Kingdom (UK)",84,5.5533751639116
1501,"Chapman University","United States of America (USA)",27,5.5486258730376
1502,"Hainan Normal University",China,27,5.5484649122807
1503,"University of Patras",Greece,27,5.5467148660903
1504,"European Centre for Medium-Range Weather Forecasts (ECMWF)","United Kingdom (UK)",22,5.5456439393939
1505,"Bengbu Medical University",China,37,5.5451164086764
1506,"SRM University, Andhra Pradesh",India,17,5.5373697226638
1507,"Coventry University","United Kingdom (UK)",22,5.5139196486005
1508,"University of Nizwa",Oman,20,5.5127521697167
1509,"University of Portsmouth","United Kingdom (UK)",41,5.5055643094767
1510,"Zhejiang Shuren University (ZJSRU)",China,19,5.501267971268
1511,"Rosalind Franklin Institute","United Kingdom (UK)",22,5.4998766282973
1512,"Lodz University of Technology (TUL)",Poland,17,5.481435730858
1513,"The University of Miami Miller School of Medicine, UM","United States of America (USA)",17,5.4650996498344
1514,"National University of Córdoba (UNC)",Argentina,39,5.4630841151579
1515,"Finland Ministry of Social Affairs and Health",Finland,101,5.4622803199324
1516,"University of Tarapacá (UTA)",Chile,188,5.4614307439634
1517,"Yerevan State University (YSU)",Armenia,114,5.4581642354254
1518,"MedStar Health","United States of America (USA)",57,5.44601551116
1519,Thales,France,51,5.4335453695388
1520,"Shandong Laboratory of Yantai Advanced Materials and Green Manufacture",China,30,5.4197557072557
1521,"Yan'an University",China,32,5.4018329808622
1522,"Kunming Medical University (KMU)",China,58,5.3973398498219
1523,"Nevada System of Higher Education (NSHE)","United States of America (USA)",36,5.3890740892426
1524,"University of North Carolina at Greensboro","United States of America (USA)",16,5.3798174894459
1525,"École Nationale Supérieure de Chimie de Rennes (ENSCR)",France,66,5.375519966145
1526,"King Fahd University of Petroleum and Minerals (KFUPM)","Saudi Arabia",26,5.3631085718547
1527,"Hacettepe University",Turkey,58,5.3562724189826
1528,"Luxembourg Institute of Science and Technology (LIST)",Luxembourg,23,5.3529150616612
1529,"Xi'an University of Posts and Telecommunications (XUPT)",China,18,5.3524531024531
1530,"Barts Health NHS Trust","United Kingdom (UK)",82,5.3463818503119
1531,"Connecticut Agricultural Experiment Station (CAES)","United States of America (USA)",25,5.3396605428642
1532,"Liaoning Academy of Materials",China,52,5.3383336059257
1533,"University of Namur (UNamur)",Belgium,29,5.3335291922248
1534,"Santa Fe Institute (SFI)","United States of America (USA)",57,5.3319840818868
1535,"Optics Valley Laboratory",China,48,5.3208745395471
1536,"Hunan University of Science and Engineering (HUSE)",China,11,5.3167582417582
1537,"Sejong University","South Korea",93,5.3143067549058
1538,"Federal University of Goiás (UFG)",Brazil,21,5.3134628981293
1539,"Nara Women's University (NWU)",Japan,43,5.30000325505
1540,Sony,Japan,11,5.2982683982684
1541,"University of Cyprus",Cyprus,62,5.2947283246374
1542,"Bioeconomy Science Institute","New Zealand",42,5.2946629247185
1543,"Western Washington University (WWU)","United States of America (USA)",18,5.2866833358213
1544,"Mie University",Japan,18,5.2852421861293
1545,"University of Lethbridge",Canada,19,5.282350148991
1546,"Ural Federal University (UrFU)",Russia,24,5.2670849277461
1547,"New York State Department of Health (NYSDOH)","United States of America (USA)",38,5.2428083303154
1548,"Basque Center for Macromolecular Design and Engineering",Spain,32,5.2341467957567
1549,"The Jikei University School of Medicine",Japan,25,5.2324962239755
1550,"University of Pau and Pays de l'Adour (UPPA)",France,50,5.2234728496736
1551,"Chongqing Jiaotong University",China,14,5.221626984127
1552,"Bispebjerg University Hospital (BBH)",Denmark,250,5.1932403669207
1553,"Rio de Janeiro State University (UERJ)",Brazil,114,5.1922004034156
1554,"South Australian Health and Medical Research Institute (SAHMRI)",Australia,32,5.1911062000788
1555,"University of Ulster (UU)","United Kingdom (UK)",15,5.1814105434795
1556,"University of Pardubice","Czech Republic",18,5.1785407947173
1557,"Swedish Institute of Space Physics (IRF)",Sweden,17,5.1541181476411
1558,"Beijing Academy of Agriculture and Forestry Sciences (BAAFS)",China,17,5.152557758146
1559,"Jishou University",China,13,5.1504578754579
1560,"University of Western Brittany (UBO)",France,85,5.1353992610076
1561,"University of Veterinary Medicine Vienna (VUM)",Austria,36,5.1252432611503
1562,"West University of Timișoara (UVT)",Romania,57,5.1244449168539
1563,"University of Minho (UM)",Portugal,88,5.1206055271808
1564,"Savannah River National Laboratory (SRNL)","United States of America (USA)",13,5.1174225245654
1565,"Frederiksberg Hospital",Denmark,243,5.1125189177715
1566,"The University of Memphis (U of M)","United States of America (USA)",16,5.109510518721
1567,"University Hospital Nantes (CHU de Nantes)",France,92,5.1079766033986
1568,NORCE,Norway,64,5.1069256479075
1569,"Geisinger Health System (GHS)","United States of America (USA)",32,5.1061494335925
1570,"Oujiang Laboratory",China,36,5.097259217176
1571,"American University of Beirut (AUB)",Lebanon,24,5.0863334604999
1572,"Institute for Advanced Studies in Basic Sciences (IASBS)",Iran,15,5.0851247069371
1573,"Jain University (JU)",India,16,5.0829545454545
1574,"New Mexico State University (NMSU)","United States of America (USA)",181,5.0808888208503
1575,"University of Colorado Denver (CU Denver)","United States of America (USA)",40,5.0772797136116
1576,"Imperial College Healthcare NHS Trust","United Kingdom (UK)",84,5.0674851553535
1577,"Basque Center for Materials, Applications and Nanostructures (BCMaterials)",Spain,21,5.0549881122462
1578,"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR,B)",Bangladesh,33,5.0343197377959
1579,"University of Antioquia (UdeA)",Colombia,82,5.0331074197461
1580,"China National Tobacco Company (CNTC)",China,22,5.0185151653902
1581,"Pontifical Catholic University of Valparaíso (PUCV)",Chile,20,4.9867063492063
1582,"Federal University of Pelotas (UFPel)",Brazil,18,4.9835874417022
1583,"Italy Ministry of Health",Italy,99,4.980043857862
1584,"China Banknote Printing and Minting Corporation (CBPM)",China,20,4.9776695526696
1585,"Leeds Teaching Hospitals NHS Trust (LTHT)","United Kingdom (UK)",85,4.9754805588986
1586,"University of Camerino (UNICAM)",Italy,42,4.9720270985538
1587,"The Wistar Institute","United States of America (USA)",31,4.9718799353814
1588,"National University of Colombia (UNAL)",Colombia,124,4.9693174406065
1589,"Wesleyan University","United States of America (USA)",34,4.9677437299027
1590,"University Hospitals Birmingham NHS Foundation Trust (UHB)","United Kingdom (UK)",69,4.9676637029824
1591,"Indian Institute of Technology (Banaras Hindu University), Varanasi (IIT BHU)",India,11,4.9606837606838
1592,"Germany Federal Ministry of Health (BMG)",Germany,72,4.9574819063526
1593,"Josep Carreras Leukaemia Research Institute (IJC)",Spain,30,4.9485832230577
1594,"Amity University",India,29,4.9380401545651
1595,"Hunan University of Technology",China,12,4.931746031746
1596,"Great Ormond Street Hospital for Children NHS Trust","United Kingdom (UK)",58,4.9221551816388
1597,"Novosibirsk State University (NSU)",Russia,49,4.921496469705
1598,"The State Serum Institute (SSI)",Denmark,46,4.9183116203524
1599,"Rowan University","United States of America (USA)",31,4.9134318110655
1600,"Hungarian Research Network (HUN-REN)",Hungary,32,4.912432949887
1601,"Bureau de Recherches Geologiques et Minieres (BRGM)",France,38,4.9073696226265
1602,"Tamkang University (TKU)",Taiwan,30,4.8994175544098
1603,"Nanning Normal University",China,13,4.8802109440267
1604,"University of Missouri-Kansas City (UMKC)","United States of America (USA)",59,4.8793819080576
1605,"Changzhou Institute of Technology",China,23,4.8763999889
1606,"Southern Methodist University (SMU)","United States of America (USA)",77,4.8757499701657
1607,"Shibaura Institute of Technology (SIT)",Japan,26,4.8697540198446
1608,"Indian Institute of Technology Jammu (IIT Jammu)",India,9,4.8652236652237
1609,"Israel Ministry of Agriculture and Rural Development",Israel,12,4.8629600558172
1610,GRINM,China,29,4.846540959041
1611,"Institut Mines-Télécom (IMT)",France,129,4.8404821716555
1612,"National Center of Neurology and Psychiatry (NCNP)",Japan,28,4.8389302021696
1613,"Kumoh National Institute of Technology (KIT)","South Korea",23,4.8131677232296
1614,"Caen University (UNICAEN)",France,76,4.8058090212744
1615,"University of Cádiz (UCA)",Spain,21,4.7815162907268
1616,"Worcester Polytechnic Institute (WPI)","United States of America (USA)",16,4.7635085073166
1617,"Peoples Friendship University of Russia (PFUR)",Russia,23,4.7627582280523
1618,"NHS Greater Glasgow and Clyde (NHSGGC)","United Kingdom (UK)",87,4.7617856795357
1619,"Tokyo University of Pharmacy and Life Sciences (TUPLS)",Japan,15,4.7606138306138
1620,"National Health Research Institutes (NHRI)",Taiwan,35,4.7562127617432
1621,"University of Mazandaran (UMZ)",Iran,8,4.7333333333333
1622,"European Space Agency (ESA)",France,57,4.7199589952089
1623,"University of Insubria",Italy,47,4.7198567951765
1624,"China Ministry of Emergency Management (MEM)",China,18,4.7149305555556
1625,"Institute of Molecular Biology gGmbH (IMB)",Germany,35,4.6928167531801
1626,"Malaviya National Institute of Technology Jaipur (MNIT Jaipur)",India,7,4.6916666666667
1627,"Rikkyo University",Japan,24,4.6884128992705
1628,"Damghan University",Iran,11,4.6875
1629,"National Taipei University of Technology (NTUT)",Taiwan,19,4.681802054155
1630,"National Jewish Health (NJH)","United States of America (USA)",40,4.6689425399809
1631,"University of Science and Technology, Meghalaya (USTM)",India,7,4.6666666666667
1632,"National Bureau of Economic Research (NBER)","United States of America (USA)",34,4.6587752525253
1633,"National Science Foundation (NSF)","United States of America (USA)",70,4.6410896659367
1634,"National Institute of Pharmaceutical Education and Research Mohali (NIPER Mohali)",India,8,4.6375
1635,"Xi'an Polytechnic University",China,17,4.6286009741892
1636,"National Institute of Information and Communications Technology (NICT)",Japan,31,4.6251833755283
1637,"Xunta de Galicia",Spain,67,4.618677907992
1638,"Kyoto Prefectural University of Medicine (KPUM)",Japan,22,4.6145476847329
1639,"Yale New Haven Health System (YNHHS)","United States of America (USA)",34,4.6138163106567
1640,"Shahid Beheshti University (SBU)",Iran,12,4.6105301726
1641,LONGi,China,11,4.6077208242017
1642,"NSW Ministry of Health",Australia,67,4.6052992677727
1643,"Hirosaki University",Japan,18,4.5996296256577
1644,"Federal Ministry of Food and Agriculture (BMEL)",Germany,36,4.5940630548978
1645,"SA Health",Australia,72,4.58284707168
1646,"Japan Fine Ceramics Center (JFCC)",Japan,14,4.5795284780579
1647,"Gentofte University Hospital",Denmark,250,4.560611451112
1648,"Clinical Research Institute of Montreal (IRCM)",Canada,22,4.5602655342593
1649,"Xuzhou University of Technology",China,18,4.5551804404746
1650,"Åbo Akademi University",Finland,47,4.5475034025151
1651,"Taipei Veterans General Hospital (TPEVGH)",Taiwan,43,4.5473464228496
1652,"Swedish Museum of Natural History",Sweden,50,4.5452320271472
1653,"Garvan Institute of Medical Research",Australia,67,4.5379975228252
1654,"SUNY Downstate Health Sciences University (SUNY Downstate)","United States of America (USA)",37,4.537604541909
1655,"United Arab Emirates University (UAEU)","United Arab Emirates",73,4.533464017009
1656,"Norway Ministry of Trade, Industry and Fisheries",Norway,50,4.5274060676469
1657,"Federal University of Bahia (UFBA)",Brazil,69,4.5164197847999
1658,"Korea Institute of Materials Science (KIMS)","South Korea",22,4.5071141883642
1659,"University of Angers",France,61,4.5015640021066
1660,"University of Burdwan",India,5,4.5
1661,"Korea Polar Research Institute (KOPRI)","South Korea",18,4.49703999704
1662,"Taras Shevchenko National University of Kyiv",Ukraine,39,4.4870796380958
1663,"University of Yamanashi",Japan,24,4.4814759352515
1664,"Konan University",Japan,18,4.4778393306422
1665,"Xinjiang Normal University",China,17,4.4770219976102
1666,Meta,"United States of America (USA)",9,4.4722174840085
1667,"UGC-DAE Consortium for Scientific Research",India,15,4.4703463203463
1668,"Hengyang Normal University (HYNU)",China,19,4.4660173160173
1669,"Hubei University of Automotive Technology (HUAT)",China,30,4.462987012987
1670,"Shandong Jianzhu University",China,16,4.4614468864469
1671,"King's College Hospital NHS Foundation Trust","United Kingdom (UK)",65,4.4602113600739
1672,"Minzu University of China (MUC)",China,20,4.4589425179631
1673,"University of Brasília (UnB)",Brazil,34,4.4564405764611
1674,"China Three Gorges Corporation (CTG)",China,30,4.4463625263625
1675,"Charles III University of Madrid (UC3M)",Spain,37,4.4400389573648
1676,"Inner Mongolia University of Technology (IMUT)",China,19,4.4345506345506
1677,"University of Management and Technology (UMT)",Pakistan,18,4.4269085522558
1678,"Chennai Mathematical Institute (CMI)",India,12,4.4166666666667
1679,Enamine,Ukraine,14,4.4112759557264
1680,"VŠB - Technical University of Ostrava (VŠB-TU Ostrava)","Czech Republic",47,4.405824102186
1681,"Panjab University (PU)",India,83,4.3951173379465
1682,"Taiyuan University of Science and Technology (TYUST)",China,23,4.3883412339295
1683,"Tomsk State University (TSU)",Russia,16,4.382243238204
1684,"The Gatsby Charitable Foundation (Gatsby)","United Kingdom (UK)",45,4.3803954413797
1685,"NingboTech University",China,20,4.3803661616162
1686,"Howard University","United States of America (USA)",61,4.3778687587911
1687,"National Institute for Aerospace Technology (INTA)",Spain,60,4.3677726402555
1688,"Shenyang Agricultural University",China,11,4.3673091756212
1689,"Illinois State University","United States of America (USA)",9,4.3636194723151
1690,"Fukuoka University",Japan,21,4.3619409004331
1691,"Baoji University of Arts and Sciences (BUAS)",China,12,4.3565836940837
1692,"Nansen Environmental and Remote Sensing Center (NERSC)",Norway,53,4.3499346289111
1693,CATL,China,22,4.3486607018189
1694,"National University of Ireland Maynooth (NUI Maynooth)",Ireland,25,4.3433943265903
1695,"CHA University (CHA)","South Korea",26,4.3394516266061
1696,"Korea Institute of Industrial Technology (KITECH)","South Korea",25,4.3316243697823
1697,"Harvard Pilgrim Health Care","United States of America (USA)",37,4.3297555620663
1698,"Oakland University","United States of America (USA)",14,4.3293307605174
1699,"Florida Institute of Technology (Florida Tech)","United States of America (USA)",95,4.3276164498376
1700,"Makerere University",Uganda,47,4.3272660397737
1701,"Kunsan National University","South Korea",14,4.3228639781271
1702,"Doctors Without Borders (MSF)",Switzerland,16,4.3190428738424
1703,"Tianguan Group",China,23,4.3119204467031
1704,"Zhejiang University of Science and Technology",China,17,4.3111712361712
1705,"Los Andes University",Colombia,71,4.2973470914415
1706,"Meiji University",Japan,23,4.2897715978968
1707,"Liaoning Cancer Hospital and Institute",China,33,4.2870937445013
1708,"University of Windsor (UWin)",Canada,28,4.2840332361217
1709,"The Royal Marsden NHS Foundation Trust","United Kingdom (UK)",69,4.2816158717785
1710,"Children’s Mercy Kansas City","United States of America (USA)",38,4.2759539534383
1711,"Pondicherry University",India,14,4.2725849225849
1712,"Techint Group",Italy,83,4.2682051387235
1713,"University of Haute-Alsace (UHA)",France,83,4.2628191387411
1714,"HESAM Université",France,246,4.2628161892365
1715,"China Electrical Equipment Group",China,11,4.2566131237184
1716,"Hunan Institute of Engineering (HIE)",China,23,4.2373996172909
1717,"University of Valparaíso (UV)",Chile,33,4.2357242925472
1718,"Maria Curie-Skłodowska University (UMCS)",Poland,16,4.23556998557
1719,"Inner Mongolia University for the Nationalities (IMUN)",China,14,4.2243437118437
1720,"Sofia University St. Kliment Ohridski",Bulgaria,122,4.1997229940119
1721,"North China University of Science and Technology (NCST)",China,23,4.1850678406561
1722,"North Dakota State University (NDSU)","United States of America (USA)",15,4.1822961760462
1723,"Southwest Minzu University",China,18,4.1787698412698
1724,"Tokushima University",Japan,27,4.1777142949566
1725,"Putian University",China,22,4.1736980125138
1726,"Doshisha University",Japan,10,4.1634615384615
1727,"National Chiayi University",Taiwan,8,4.1527777777778
1728,"Baker Heart and Diabetes Institute (Baker IDI)",Australia,53,4.1491898061847
1729,"The George Institute for Global Health (TGI)",Australia,58,4.1488650188062
1730,ExxonMobil,"United States of America (USA)",12,4.1443181818182
1731,"Korea Atomic Energy Research Institute (KAERI)","South Korea",22,4.1431690450073
1732,"Osaka Institute of Technology (OIT)",Japan,8,4.1331349206349
1733,"University of Tours (UFR)",France,50,4.1273235560715
1734,"University of the Ryukyus",Japan,27,4.1263075311354
1735,"Anyang Normal University",China,13,4.1261294261294
1736,"Duy Tan University (DTU)",Vietnam,17,4.1217057207339
1737,"Children's Healthcare of Atlanta (CHOA) Inc.","United States of America (USA)",50,4.1011653874595
1738,"Bohai Rim Advanced Research Institute for Drug Discovery",China,31,4.097534546064
1739,"Fluminense Federal University (UFF)",Brazil,24,4.0936144591821
1740,"University of Johannesburg (UJ)","South Africa",101,4.0890497853594
1741,"University of Health and Rehabilitation Sciences",China,42,4.0863469823777
1742,"Tallinn University of Technology (TUT)",Estonia,11,4.0850378362688
1743,"Peng Cheng Laboratory (PCL)",China,28,4.0830709051297
1744,"HealthPartners Institute for Education and Research","United States of America (USA)",21,4.0690887747495
1745,"Bishop's University",Canada,8,4.0685328185328
1746,"National Institute for Theoretical and Computational Sciences (NITheCS)","South Africa",21,4.0654071206397
1747,"Barnard College","United States of America (USA)",12,4.0616702741703
1748,"Soonchunhyang University (SCH)","South Korea",32,4.0611618004961
1749,"Tohoku Medical and Pharmaceutical University (TMPU)",Japan,10,4.0519841269841
1750,"All India Institute of Medical Sciences - New Delhi (AIIMS New Delhi)",India,24,4.0441956843697
1751,"Fujian Institute of Oceanography (FJIO)",China,17,4.042544955045
1752,"Indian Institute of Geomagnetism (IIG)",India,6,4.0392857142857
1753,"Metro North Hospital and Health Service",Australia,41,4.0320070850722
1754,"Teikyo University",Japan,17,4.0314618906891
1755,"NERC National Centre for Atmospheric Science (NCAS)","United Kingdom (UK)",30,4.0282293278617
1756,"University of Eastern Piedmont ""Amedeo Avogadro"" (UNIPMN)",Italy,161,4.0256590882855
1757,"Universidad San Sebastián (USS)",Chile,19,4.0185985018222
1758,"Virgen del Rocío University Hospital",Spain,77,4.0184515642576
1759,"Huaiyin Normal University (HYTC)",China,26,4.0102688977689
1760,"China Ministry of Public Security (MPS)",China,18,4.0053571428571
1761,"Czech University of Life Sciences Prague (CULS)","Czech Republic",30,4.0037295969305
1762,"Guangdong University of Petrochemical Technology",China,17,4.0031440781441
1763,"Marche Polytechnic University (UNIVPM)",Italy,56,4.0025964585672
1764,"Cotton University",India,5,4
1764,"Razi University",Iran,4,4
1765,"Emory Healthcare","United States of America (USA)",66,3.9969155258949
1766,"New York Blood Center (NYBC)","United States of America (USA)",10,3.9766147904383
1767,"London School of Economics and Political Science (LSE)","United Kingdom (UK)",28,3.971673931881
1768,"Marmara University",Turkey,63,3.9648338811158
1769,"University of Kalyani",India,12,3.9567155067155
1770,"Indian Institute of Technology Bhubaneswar (IIT-BBS)",India,42,3.9458719918045
1771,"Jinggangshan University (JGSU)",China,13,3.9424392736893
1772,"Dublin Institute for Advanced Studies (DIAS)",Ireland,24,3.9389561524723
1773,"Bose Institute",India,33,3.9375960780411
1774,"Cadi Ayyad University (UCA)",Morocco,49,3.9346794340422
1775,"Chubu University",Japan,17,3.9301099380463
1776,"Paris-Est Créteil University (UPEC)",France,73,3.9241817522599
1777,"King Juan Carlos University (URJC)",Spain,22,3.9215985792897
1778,"Hvidovre Hospital",Denmark,241,3.9172344140843
1779,"North-West University (NWU)","South Africa",43,3.9153749867336
1780,"Kookmin University","South Korea",23,3.9013781969664
1781,"National Science and Technology Council (NSTC)",Taiwan,59,3.8961484503151
1782,"Chiang Mai University (CMU)",Thailand,39,3.8937370737919
1783,"Monash Health",Australia,47,3.8880657583716
1784,"New Zealand Institute for Public Health and Forensic Science (PHF Science)","New Zealand",10,3.8784231249566
1785,"La Fe University Hospital",Spain,57,3.8620003482162
1786,"Shanghai Artificial Intelligence Laboratory",China,17,3.8514321094748
1787,"Jackson State University","United States of America (USA)",28,3.8265682514349
1788,"Clarkson University","United States of America (USA)",12,3.8242521367521
1789,"Texas State University - San Marcos","United States of America (USA)",35,3.823910297321
1790,"Gdańsk University of Technology (GUT)",Poland,17,3.8153540903541
1791,Xanadu,Canada,4,3.8095238095238
1792,"Inje University","South Korea",25,3.8069343946556
1793,"Bureau of Meteorology (BOM)",Australia,37,3.8043848464017
